"WEEKEND","NL63","OC43","E229","HKU1","ILI","NL63_ILI","OC43_ILI","E229_ILI","HKU1_ILI","WEEKINDEX"
2016-06-25,0.000855188141391106,0.0125427594070696,0.000855188141391106,0.000570125427594071,0.00863306,7.3828905359179e-06,0.000108282394526796,7.3828905359179e-06,4.92192702394527e-06,104
2016-07-02,0.000653381247958184,0.00849395622345639,0.00163345311989546,0.000980071871937275,0.00833797,5.4478732440379e-06,7.08223521724927e-05,1.36196831100947e-05,8.17180986605684e-06,105
2016-07-09,0.00172018348623853,0.00946100917431193,0.00286697247706422,0.00200688073394495,0.00784516,1.34951146788991e-05,7.4223130733945e-05,2.24918577981651e-05,1.57443004587156e-05,106
2016-07-16,0.000819224467504096,0.00655379574003277,0.00354997269251775,0.000273074822501365,0.00734327,6.0157864554888e-06,4.81262916439104e-05,2.60684079737848e-05,2.0052621518296e-06,107
2016-07-23,0.000839160839160839,0.00867132867132867,0.00223776223776224,0.000839160839160839,0.00698845,5.86443356643357e-06,6.05991468531469e-05,1.56384895104895e-05,5.86443356643357e-06,108
2016-07-30,0.000285795941697628,0.00600171477565019,0.0020005715918834,0.000571591883395256,0.00723099,2.06658759645613e-06,4.33983395255787e-05,1.44661131751929e-05,4.13317519291226e-06,109
2016-08-06,0.00238450074515648,0.0029806259314456,0.00208643815201192,0.00029806259314456,0.00663501,1.58211862891207e-05,1.97764828614009e-05,1.38435380029806e-05,1.97764828614009e-06,110
2016-08-13,0.00118133490844654,0.00502067336089781,0.00206733608978145,0.00147666863555818,0.0069276,8.18381571175428e-06,3.47812167749557e-05,1.432167749557e-05,1.02297696396929e-05,111
2016-08-20,0.00105540897097625,0.00395778364116095,0.000527704485488127,0,0.00710029,7.49370976253298e-06,2.81014116094987e-05,3.74685488126649e-06,0,112
2016-08-27,0.0037821482602118,0.00806858295511851,0.00226928895612708,0,0.00834232,3.15518910741301e-05,6.73107009581442e-05,1.89311346444781e-05,0,113
2016-09-03,0.00089086859688196,0.00801781737193764,0.0022271714922049,0.00066815144766147,0.00992621,8.84294877505568e-06,7.95865389755011e-05,2.21073719376392e-05,6.63221158129176e-06,114
2016-09-10,0.00195993031358885,0.00457317073170732,0.00130662020905923,0,0.0101605,1.99138719512195e-05,4.64657012195122e-05,1.32759146341463e-05,0,115
2016-09-17,0.00208057499527142,0.00359372044637791,0.00151314545110649,0,0.0107169,2.22973141668243e-05,3.85135426517874e-05,1.62162284849631e-05,0,116
2016-09-24,0.00144144144144144,0.00576576576576577,0.00144144144144144,0.00018018018018018,0.0110163,1.58793513513514e-05,6.35174054054054e-05,1.58793513513514e-05,1.98491891891892e-06,117
2016-10-01,0.000878889084197574,0.00544911232202496,0.0012304447178766,0.000175777816839515,0.0118841,1.04448057655124e-05,6.47577957461768e-05,1.46227280717173e-05,2.08896115310248e-06,118
2016-10-08,0.00100654252642174,0.00822009729911089,0.00134205670189565,0.000335514175473914,0.012019,1.20976346250629e-05,9.87973494380138e-05,1.61301795000839e-05,4.03254487502097e-06,119
2016-10-15,0.00146222583265638,0.00617384240454915,0.000812347684809098,0.000324939073923639,0.0123108,1.80011697806661e-05,7.60049390739236e-05,1.00006498781478e-05,4.00025995125914e-06,120
2016-10-22,0.00141154328732748,0.00595984943538269,0.00219573400250941,0,0.0126796,1.78978042659975e-05,7.55685069008783e-05,2.78410288582183e-05,0,121
2016-10-29,0.00200555384140697,0.00848503548287566,0.0029311940759025,0,0.0136298,2.73352977476088e-05,0.000115649336624499,3.99515890157359e-05,0,122
2016-11-05,0.00183010523105079,0.0103705963092878,0.00228763153881348,0.000305017538508464,0.0148535,2.71834680494128e-05,0.000154039652280006,3.3979335061766e-05,4.53057800823547e-06,123
2016-11-12,0.00175387313650979,0.0121309558608594,0.00190002923121894,0.000438468284127448,0.0155954,2.73523531131248e-05,0.000189187109032447,2.96317158725519e-05,6.8380882782812e-06,124
2016-11-19,0.00192307692307692,0.0166208791208791,0.0021978021978022,0.000137362637362637,0.0164783,3.16890384615385e-05,0.000273883832417582,3.6216043956044e-05,2.26350274725275e-06,125
2016-11-26,0.00209989500524974,0.0199490025498725,0.00389980500974951,0.000299985000749962,0.0191275,4.01657417129143e-05,0.000381574546272686,7.45935203239838e-05,5.73796310184491e-06,126
2016-12-03,0.00285927399303829,0.0275982098458478,0.00546991546494281,0.000124316260566882,0.0181725,5.19601566384883e-05,0.00050152846842367,9.94020387866733e-05,2.25913724515167e-06,127
2016-12-10,0.00389056224899598,0.0368975903614458,0.00502008032128514,0.00288654618473896,0.0191433,7.44782003012048e-05,0.000706341641566265,9.61009036144578e-05,5.52580195783133e-05,128
2016-12-17,0.00417342916763274,0.0537908648272664,0.00939021562717366,0.000347785763969395,0.0221003,9.22340366334338e-05,0.00118879424994204,0.000207526582425226,7.68616971945282e-06,129
2016-12-24,0.00362357454971757,0.0544601939678141,0.0118299051476074,0.000959181498454652,0.0273568,9.91294042417137e-05,0.0014898566343387,0.000323628349142065,2.62401364169242e-05,130
2016-12-31,0.00466136550589526,0.0686408920573988,0.0152636870487158,0.00091399323645005,0.0336832,0.000157009706608171,0.00231204489534777,0.000514129823599305,3.07862169819943e-05,131
